ID,quiet,steady,changing,testing,sample,finalAudioCheck,help_person,external_help,aloud_rehearsal,sound_off,unplug_hp,external_distraction,device_used,audio_device,response_device,motivation,concentration,location_time,switch_screen,technical_issue,hearing,cse,sse,ise
hcpib3mqkfqq03pa,0.88125,0.8875,0.74375,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,high,high,12:43pm,FALSE,FALSE,NA,0.14374999999999993,-0.006249999999999978,0.13749999999999996
hcpib3mqkfqqe5hb,0.74375,0.78125,0.675,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Trackpad,high,highest,13:19,FALSE,FALSE,NA,0.10624999999999996,-0.03749999999999998,0.06874999999999998
hcpib3mqkfs271xy,0.8625,0.8,0.7125,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,high,highest,am,FALSE,FALSE,NA,0.08750000000000002,0.0625,0.15000000000000002
hcpib3mqkfs27yiv,0.79375,0.6125,0.44375,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Trackpad,high,high,11:08 am,FALSE,FALSE,Hearing loss for the lowest 10-15% of average audible  frequencies no day to day affect on hearing,0.16875000000000007,0.1812499999999999,0.35
hcpib3mqkfs27bou,0.73125,0.8,0.6375,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,average,high,11.26am,FALSE,FALSE,NA,0.1625000000000001,-0.06875000000000009,0.09375
hcpib3mqkfs26r8q,0.80625,0.875,0.625,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,In-ear,Mouse,high,highest,11:08pm,FALSE,FALSE,NA,0.25,-0.06874999999999998,0.18125000000000002
hcpib3mqkfs26l5r,0.5625,0.56875,0.53125,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,high,high,11.09 am,FALSE,FALSE,NA,0.03749999999999998,-0.006249999999999978,0.03125
hcpib3mqkfs276b8,0.95,0.875,0.85,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,highest,highest,11:16am,FALSE,FALSE,NA,0.025000000000000022,0.07499999999999996,0.09999999999999998
hcpib3mqkfse6rhv,0.81875,0.6875,0.78125,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Touchscreen,high,high,16:43,FALSE,FALSE,NA,-0.09375,0.13124999999999998,0.03749999999999998
hcpib3mqkfse6gbt,0.85,0.85,0.7625,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,high,high,4:45pm,FALSE,FALSE,N/a,0.08750000000000002,0,0.08750000000000002
hcpib3mqkfseexth,0.7375,0.65,0.60625,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,high,high,4:49pm,FALSE,FALSE,NA,0.04375000000000007,0.08750000000000002,0.1312500000000001
hcpib3mqkfse6w8g,0.7375,0.8,0.75,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Touchscreen,highest,highest,04:51 pm,FALSE,FALSE,NA,0.050000000000000044,-0.0625,-0.012499999999999956
